"BehaviorSpace results (NetLogo 3D 6.1.1)"
"TumourAngioSim.nlogo3d"
"final-state"
"11/01/2020 11:27:09:951 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","quiescent-duration","angiogenesis-signal-radius","initial-cells","max-low-energy-duration","malignant-proliferation-chance","angiogenesis-min-demand","energy-req-prolif","normal-proliferation-chance","disease-ratio","[step]","count-malignant-cells","count-somatic-cells","count-malignant-spawn-cells","count-somatic-spawn-cells","count-quiescent-cells-at-final-tick","count-quiescent-cells-occurences","count-vascular-patches"
"212","15","3","500","10","2.35","3","3","2.1","2","301","283","7601","597","22802","19","92","1710"
"179","15","3","500","10","2.35","3","1","2.1","2","301","1700","13575","4016","45674","98","607","4745"
"219","15","3","500","10","2.35","3","3","2.1","2","301","7","6664","65","18399","0","12","783"
"213","15","3","500","10","2.35","3","3","2.1","2","301","1514","7787","3175","21420","78","406","3675"
"222","15","3","500","10","2.35","3","3","2.1","2","301","206","6853","432","18227","10","65","1030"
"220","15","3","500","10","2.35","3","3","2.1","2","301","71","6855","232","19986","3","37","1163"
"221","15","3","500","10","2.35","3","3","2.1","2","301","379","7404","836","20042","17","134","1694"
"225","15","3","500","10","2.35","3","3","2.1","2","301","0","7213","12","19542","0","4","783"
"223","15","3","500","10","2.35","3","3","2.1","2","301","131","7650","275","23004","8","32","1379"
"224","15","3","500","10","2.35","3","3","2.1","2","301","237","7660","414","22360","10","46","1575"
"228","15","3","500","10","2.35","3","3","2.1","2","301","0","7200","3","20679","0","0","783"
"226","15","3","500","10","2.35","3","3","2.1","2","301","203","7609","489","22817","13","91","1492"
"227","15","3","500","10","2.35","3","3","2.1","2","301","373","7194","717","19275","16","98","1964"
"229","15","3","500","10","2.35","3","3","2.1","2","301","0","7225","13","23323","0","9","783"
"231","15","3","500","10","2.35","3","3","2.1","2","301","365","6932","725","19002","15","100","1651"
"232","15","3","500","10","2.35","3","3","2.1","2","301","399","6531","800","18425","16","95","1782"
"230","15","3","500","10","2.35","3","3","2.1","2","301","289","7262","583","23114","17","98","1710"
"234","15","3","500","10","2.35","3","3","2.1","2","301","67","6444","194","19982","3","43","1082"
"233","15","3","500","10","2.35","3","3","2.1","2","301","435","7324","906","21743","21","121","1063"
"236","15","3","500","10","2.35","3","3","2.1","2","301","181","6851","439","19291","14","74","783"
"238","15","3","500","10","2.35","3","3","2.1","2","301","0","7031","3","19453","0","0","783"
"235","15","3","500","10","2.35","3","3","2.1","2","301","227","7698","416","21026","7","47","1501"
"239","15","3","500","10","2.35","3","3","2.1","2","301","141","6228","339","18008","6","45","923"
"237","15","3","500","10","2.35","3","3","2.1","2","301","508","7365","1231","22080","31","208","2361"
"240","15","3","500","10","2.35","3","3","2.1","2","301","121","7480","292","22263","5","49","1414"
