"BehaviorSpace results (NetLogo 3D 6.1.1)"
"TumourAngioSim.nlogo3d"
"final-state"
"11/01/2020 14:38:42:562 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","quiescent-duration","angiogenesis-signal-radius","initial-cells","max-low-energy-duration","malignant-proliferation-chance","angiogenesis-min-demand","energy-req-prolif","normal-proliferation-chance","disease-ratio","[step]","count-malignant-cells","count-somatic-cells","count-malignant-spawn-cells","count-somatic-spawn-cells","count-quiescent-cells-at-final-tick","count-quiescent-cells-occurences","count-vascular-patches"
"169","15","2","500","10","2.25","1","2","2","2","301","317","209","565","1744","12","47","955"
"168","15","2","500","10","2.25","1","2","2","2","301","737","198","1246","1802","26","133","1820"
"161","15","2","500","10","2.25","1","2","2","2","301","2333","262","3816","2111","74","375","4376"
"166","15","2","500","10","2.25","1","2","2","2","301","842","431","1482","2492","29","172","2218"
"165","15","2","500","10","2.25","1","2","2","2","301","1409","309","2315","2244","65","251","2834"
"172","15","2","500","10","2.25","1","2","2","2","301","464","460","870","2778","15","100","1310"
"170","15","2","500","10","2.25","1","2","2","2","301","1229","429","2056","2603","49","216","2375"
"173","15","2","500","10","2.25","1","2","2","2","301","958","175","1675","1623","28","166","2337"
"174","15","2","500","10","2.25","1","2","2","2","301","848","372","1462","2505","18","135","1364"
"177","15","2","500","10","2.25","1","2","2","2","301","0","272","0","2025","0","2","783"
"171","15","2","500","10","2.25","1","2","2","2","301","2130","342","3619","2343","78","387","3728"
"175","15","2","500","10","2.25","1","2","2","2","301","1134","257","1991","2311","47","198","2513"
"179","15","2","500","10","2.25","1","2","2","2","301","2","324","21","2507","0","4","783"
"178","15","2","500","10","2.25","1","2","2","2","301","811","269","1282","2089","21","132","1946"
"176","15","2","500","10","2.25","1","2","2","2","301","1281","554","2237","3020","47","256","2416"
"184","15","2","500","10","2.25","1","2","2","2","301","5","284","24","2178","0","6","783"
"182","15","2","500","10","2.25","1","2","2","2","301","490","308","836","2280","17","89","1654"
"181","15","2","500","10","2.25","1","2","2","2","301","1672","283","2608","2137","47","228","2695"
"183","15","2","500","10","2.25","1","2","2","2","301","621","312","1057","2365","15","103","1680"
"185","15","2","500","10","2.25","1","2","2","2","301","973","313","1582","2096","36","170","2350"
"186","15","2","500","10","2.25","1","2","2","2","301","182","358","347","2458","4","29","1114"
"187","15","2","500","10","2.25","1","2","2","2","301","552","316","834","2130","23","91","1342"
"180","15","2","500","10","2.25","1","2","2","2","301","2376","416","3888","2526","81","367","3460"
"191","15","2","500","10","2.25","1","2","2","2","301","207","184","350","1705","7","44","1173"
"188","15","2","500","10","2.25","1","2","2","2","301","1655","263","2642","1838","55","253","2997"
"189","15","2","500","10","2.25","1","2","2","2","301","1223","326","2052","2426","45","216","2386"
"195","15","2","500","10","2.25","1","2","2","2","301","949","369","1642","2199","30","164","1842"
"193","15","2","500","10","2.25","1","2","2","2","301","1525","270","2451","1962","58","240","2681"
"196","15","2","500","10","2.25","1","2","2","2","301","690","297","1321","1990","28","176","783"
"190","15","2","500","10","2.25","1","2","2","2","301","2157","444","3490","2659","86","365","3348"
"194","15","2","500","10","2.25","1","2","2","2","301","1257","444","2133","2695","53","215","2772"
"197","15","2","500","10","2.25","1","2","2","2","301","659","361","1109","2356","20","120","1788"
"198","15","2","500","10","2.25","1","2","2","2","301","692","315","1273","2103","25","125","1664"
"200","15","2","500","10","2.25","1","2","2","2","301","55","395","144","2631","3","25","874"
"201","15","2","500","10","2.25","3","2","2","2","301","0","281","33","1822","0","6","783"
"202","15","2","500","10","2.25","3","2","2","2","301","0","179","23","1598","0","5","783"
"199","15","2","500","10","2.25","1","2","2","2","301","1966","383","3246","2493","59","320","3518"
